Experiment	bias spectroscopy	
-2.0937936E+0	-65.567433E-12	-2.0937936E+0	-69.890433E-9	2.9274738E-12	10.182891E-12
-2.0906906E+0	-64.488859E-12	-2.0906906E+0	-69.890433E-9	2.9311133E-12	10.156294E-12
-2.0875876E+0	-63.658960E-12	-2.0875876E+0	-69.890433E-9	3.0120388E-12	10.160203E-12
-2.0844843E+0	-62.359590E-12	-2.0844843E+0	-69.890433E-9	3.0280752E-12	10.107313E-12
-2.0813813E+0	-61.269427E-12	-2.0813813E+0	-69.890433E-9	3.0653529E-12	10.116114E-12
-2.0782781E+0	-60.047967E-12	-2.0782781E+0	-69.890433E-9	3.0549842E-12	10.093083E-12
-2.0751750E+0	-59.034354E-12	-2.0751750E+0	-69.890433E-9	3.1109846E-12	10.128590E-12
-2.0720720E+0	-57.928710E-12	-2.0720720E+0	-69.890433E-9	3.1824552E-12	10.084377E-12
-2.0689688E+0	-56.808239E-12	-2.0689688E+0	-69.890433E-9	3.1766039E-12	10.125892E-12
-2.0658658E+0	-55.674243E-12	-2.0658658E+0	-69.890433E-9	3.2832415E-12	10.141419E-12
-2.0627627E+0	-54.599953E-12	-2.0627627E+0	-69.890433E-9	3.2812876E-12	10.168264E-12
-2.0596595E+0	-53.480376E-12	-2.0596595E+0	-69.890433E-9	3.3337458E-12	10.153984E-12
-2.0565565E+0	-52.295474E-12	-2.0565565E+0	-69.890433E-9	3.3388960E-12	10.102615E-12
-2.0534534E+0	-51.071366E-12	-2.0534534E+0	-69.890433E-9	3.4495926E-12	10.149780E-12
-2.0503502E+0	-49.774147E-12	-2.0503502E+0	-69.890433E-9	3.4219179E-12	10.105675E-12
-2.0472472E+0	-48.574905E-12	-2.0472472E+0	-69.890433E-9	3.4479507E-12	10.080011E-12
-2.0441442E+0	-47.332530E-12	-2.0441442E+0	-69.890433E-9	3.4405361E-12	10.170666E-12
-2.0410409E+0	-46.069749E-12	-2.0410409E+0	-69.890433E-9	3.5063283E-12	10.220725E-12
-2.0379379E+0	-44.771464E-12	-2.0379379E+0	-69.890433E-9	3.5601808E-12	10.083350E-12
-2.0348349E+0	-43.545501E-12	-2.0348346E+0	-69.890433E-9	3.6202449E-12	10.092683E-12
-2.0317316E+0	-42.311623E-12	-2.0317316E+0	-69.890433E-9	3.6497120E-12	10.107698E-12
-2.0286286E+0	-40.964263E-12	-2.0286286E+0	-69.890433E-9	3.6787344E-12	10.113821E-12
-2.0255253E+0	-39.725098E-12	-2.0255253E+0	-69.890433E-9	3.6671517E-12	10.172605E-12
-2.0224223E+0	-38.307586E-12	-2.0224223E+0	-69.890433E-9	3.7981441E-12	10.131872E-12
-2.0193193E+0	-36.968671E-12	-2.0193193E+0	-69.890433E-9	3.8524709E-12	10.216722E-12
-2.0162160E+0	-35.582252E-12	-2.0162160E+0	-69.890433E-9	3.8089545E-12	10.178267E-12
-2.0131130E+0	-34.064661E-12	-2.0131130E+0	-69.890433E-9	3.9077790E-12	10.155471E-12
-2.0100100E+0	-32.678103E-12	-2.0100100E+0	-69.890433E-9	4.0465179E-12	10.137810E-12
-2.0069067E+0	-31.299855E-12	-2.0069067E+0	-69.890433E-9	4.0054327E-12	10.200581E-12
-2.0038037E+0	-29.821982E-12	-2.0038037E+0	-69.890433E-9	4.1755718E-12	10.169941E-12
-2.0007007E+0	-28.380060E-12	-2.0007007E+0	-69.890433E-9	4.1460325E-12	10.119696E-12
-1.9975975E+0	-26.875150E-12	-1.9975975E+0	-69.890433E-9	4.1846804E-12	10.069822E-12
-1.9944944E+0	-25.391939E-12	-1.9944944E+0	-69.890433E-9	4.2176978E-12	10.175230E-12
-1.9913913E+0	-23.930500E-12	-1.9913913E+0	-69.890433E-9	4.2632477E-12	10.099413E-12
-1.9882882E+0	-22.344586E-12	-1.9882882E+0	-69.890433E-9	4.3243568E-12	10.168360E-12
-1.9851851E+0	-20.854339E-12	-1.9851851E+0	-69.890433E-9	4.2769911E-12	10.159395E-12
-1.9820820E+0	-19.353944E-12	-1.9820820E+0	-69.890433E-9	4.2710384E-12	10.143572E-12
-1.9789789E+0	-17.770055E-12	-1.9789789E+0	-69.890433E-9	4.2287398E-12	10.160471E-12
-1.9758757E+0	-16.283159E-12	-1.9758757E+0	-69.890433E-9	4.1504773E-12	10.105831E-12
-1.9727727E+0	-14.778533E-12	-1.9727727E+0	-69.890433E-9	4.0490337E-12	10.150738E-12
-1.9696696E+0	-13.423351E-12	-1.9696696E+0	-69.890433E-9	3.8885934E-12	10.130580E-12
-1.9665664E+0	-12.067907E-12	-1.9665664E+0	-69.890433E-9	3.6411802E-12	10.137731E-12
-1.9634633E+0	-10.822278E-12	-1.9634634E+0	-69.890433E-9	3.4867647E-12	10.166849E-12
-1.9603603E+0	-9.6488173E-12	-1.9603603E+0	-69.890433E-9	3.2215675E-12	10.173876E-12
-1.9572572E+0	-8.6099877E-12	-1.9572572E+0	-69.890433E-9	3.0144403E-12	10.171611E-12
-1.9541540E+0	-7.5827929E-12	-1.9541540E+0	-69.890433E-9	2.7501046E-12	10.144074E-12
-1.9510510E+0	-6.6156152E-12	-1.9510510E+0	-69.890433E-9	2.4732206E-12	10.190133E-12
-1.9479479E+0	-5.8468425E-12	-1.9479479E+0	-69.890433E-9	2.2044790E-12	10.179851E-12
-1.9448447E+0	-5.0760277E-12	-1.9448447E+0	-69.890433E-9	1.9524308E-12	10.189826E-12
-1.9417417E+0	-4.4011713E-12	-1.9417417E+0	-69.890433E-9	1.7423704E-12	10.242813E-12
-1.9386386E+0	-3.8177001E-12	-1.9386386E+0	-69.890433E-9	1.4900858E-12	10.205269E-12
-1.9355354E+0	-3.3704428E-12	-1.9355354E+0	-69.890433E-9	1.3290934E-12	10.199198E-12
-1.9324323E+0	-2.9498927E-12	-1.9324323E+0	-69.890433E-9	1.1792331E-12	10.222605E-12
-1.9293293E+0	-2.5565266E-12	-1.9293293E+0	-69.890433E-9	1.0033635E-12	10.232416E-12
-1.9262261E+0	-2.2561252E-12	-1.9262261E+0	-69.890433E-9	880.06051E-15	10.243630E-12
-1.9231230E+0	-1.9720586E-12	-1.9231230E+0	-69.890433E-9	786.75787E-15	10.261367E-12
-1.9200199E+0	-1.7302732E-12	-1.9200200E+0	-69.890433E-9	656.17119E-15	10.247922E-12
-1.9169168E+0	-1.5088748E-12	-1.9169168E+0	-69.890433E-9	590.53419E-15	10.257729E-12
-1.9138137E+0	-1.3535093E-12	-1.9138137E+0	-69.890433E-9	508.82681E-15	10.243755E-12
-1.9107106E+0	-1.1882392E-12	-1.9107106E+0	-69.890433E-9	462.72334E-15	10.266430E-12
-1.9076076E+0	-1.0468124E-12	-1.9076076E+0	-69.890433E-9	394.51238E-15	10.226796E-12
-1.9045044E+0	-925.01408E-15	-1.9045044E+0	-69.890433E-9	369.56457E-15	10.263762E-12
-1.9014013E+0	-839.18652E-15	-1.9014013E+0	-69.890433E-9	307.03521E-15	10.249007E-12
-1.8982983E+0	-751.71043E-15	-1.8982983E+0	-69.890433E-9	299.63597E-15	10.231433E-12
-1.8951951E+0	-652.55532E-15	-1.8951951E+0	-69.890433E-9	285.17160E-15	10.247850E-12
-1.8920920E+0	-601.62097E-15	-1.8920920E+0	-69.890433E-9	242.80729E-15	10.255011E-12
-1.8889889E+0	-551.35546E-15	-1.8889889E+0	-69.890433E-9	232.90468E-15	10.242941E-12
-1.8858858E+0	-493.88293E-15	-1.8858858E+0	-69.890433E-9	174.36540E-15	10.258357E-12
-1.8827827E+0	-435.31658E-15	-1.8827827E+0	-69.890433E-9	195.39143E-15	10.265688E-12
-1.8796796E+0	-414.12845E-15	-1.8796796E+0	-69.890433E-9	182.84377E-15	10.250883E-12
-1.8765764E+0	-400.33111E-15	-1.8765765E+0	-69.890433E-9	168.08110E-15	10.244109E-12
-1.8734734E+0	-346.80337E-15	-1.8734734E+0	-69.890433E-9	154.24237E-15	10.265112E-12
-1.8703703E+0	-321.81592E-15	-1.8703703E+0	-69.890433E-9	150.09706E-15	10.255763E-12
-1.8672671E+0	-320.64957E-15	-1.8672671E+0	-69.890433E-9	136.51954E-15	10.235259E-12
-1.8641641E+0	-277.80352E-15	-1.8641641E+0	-69.890433E-9	149.27321E-15	10.250459E-12
-1.8610610E+0	-238.10346E-15	-1.8610610E+0	-69.890433E-9	129.27712E-15	10.253063E-12
-1.8579578E+0	-225.58791E-15	-1.8579578E+0	-69.890433E-9	141.08301E-15	10.247607E-12
-1.8548548E+0	-234.36366E-15	-1.8548548E+0	-69.890433E-9	126.49845E-15	10.253112E-12
-1.8517517E+0	-192.00254E-15	-1.8517517E+0	-69.890433E-9	128.57430E-15	10.268865E-12
-1.8486485E+0	-174.94497E-15	-1.8486485E+0	-69.890433E-9	121.37847E-15	10.254175E-12
-1.8455455E+0	-181.20512E-15	-1.8455454E+0	-69.890433E-9	113.99567E-15	10.259685E-12
