Experiment	bias spectroscopy	
-95.488727E-3	-465.14753E-12	-95.488720E-3	5.9083463E-12	-1.6914606E-12	-463.48456E-12	-95.488720E-3	5.8455159E-12	-1.7822144E-12
-94.987467E-3	-457.98390E-12	-94.987467E-3	5.9097141E-12	-1.7499523E-12	-459.80758E-12	-94.987467E-3	5.8870526E-12	-1.8203822E-12
-94.486214E-3	-456.87437E-12	-94.486214E-3	5.9178062E-12	-1.6112752E-12	-456.93344E-12	-94.486214E-3	5.8103305E-12	-1.8562109E-12
-93.984962E-3	-455.51932E-12	-93.984962E-3	5.9701406E-12	-1.7263082E-12	-452.72036E-12	-93.984962E-3	5.8064413E-12	-1.7620806E-12
-93.483709E-3	-456.86108E-12	-93.483709E-3	5.9948995E-12	-1.6427996E-12	-449.55736E-12	-93.483709E-3	5.8122908E-12	-1.7232138E-12
-92.982456E-3	-454.58318E-12	-92.982456E-3	5.9383084E-12	-1.7891178E-12	-448.02229E-12	-92.982456E-3	5.9074815E-12	-1.7423689E-12
-92.481203E-3	-447.33514E-12	-92.481203E-3	5.9624129E-12	-1.7499624E-12	-443.63177E-12	-92.481203E-3	5.9379272E-12	-1.8042316E-12
-91.979951E-3	-448.90197E-12	-91.979951E-3	5.9486478E-12	-1.7084507E-12	-438.82464E-12	-91.979951E-3	5.7032989E-12	-1.7483154E-12
-91.478698E-3	-438.16495E-12	-91.478698E-3	5.9110065E-12	-1.7523952E-12	-436.68805E-12	-91.478698E-3	5.8211717E-12	-1.7722774E-12
-90.977445E-3	-433.70549E-12	-90.977445E-3	5.8395671E-12	-1.7616222E-12	-434.02568E-12	-90.977445E-3	5.8465958E-12	-1.7672819E-12
-90.476193E-3	-433.68364E-12	-90.476193E-3	5.7439808E-12	-1.6744436E-12	-433.54856E-12	-90.476193E-3	5.7370636E-12	-1.6736149E-12
-89.974940E-3	-429.48092E-12	-89.974940E-3	5.8744576E-12	-1.8285829E-12	-431.34638E-12	-89.974940E-3	5.8619238E-12	-1.7481893E-12
-89.473687E-3	-428.62544E-12	-89.473687E-3	5.9061219E-12	-1.6831548E-12	-427.11618E-12	-89.473687E-3	5.7591826E-12	-1.7390613E-12
-88.972434E-3	-430.43807E-12	-88.972434E-3	5.8765093E-12	-1.7489130E-12	-422.93394E-12	-88.972434E-3	5.7440801E-12	-1.7778730E-12
-88.471182E-3	-428.52225E-12	-88.471182E-3	5.8583789E-12	-1.7373019E-12	-421.81061E-12	-88.471182E-3	5.7711795E-12	-1.7673925E-12
-87.969929E-3	-431.85647E-12	-87.969929E-3	5.8566715E-12	-1.7519976E-12	-420.23524E-12	-87.969929E-3	5.6589395E-12	-1.7521984E-12
-87.468676E-3	-430.79876E-12	-87.468676E-3	5.9482128E-12	-1.7779196E-12	-420.57208E-12	-87.468676E-3	5.8116164E-12	-1.7650278E-12
-86.967424E-3	-427.48305E-12	-86.967424E-3	5.8629911E-12	-1.7019071E-12	-416.04464E-12	-86.967424E-3	5.7543861E-12	-1.6613204E-12
-86.466163E-3	-427.66382E-12	-86.466163E-3	5.9286191E-12	-1.7233744E-12	-413.34211E-12	-86.466163E-3	5.8694052E-12	-1.7810081E-12
-85.964918E-3	-419.54801E-12	-85.964911E-3	5.8881862E-12	-1.6160238E-12	-411.81336E-12	-85.964911E-3	5.7708083E-12	-1.7289823E-12
-85.463658E-3	-419.53679E-12	-85.463658E-3	5.8787484E-12	-1.8500466E-12	-407.10288E-12	-85.463658E-3	5.6584893E-12	-1.7263645E-12
-84.962405E-3	-409.75157E-12	-84.962405E-3	5.6832230E-12	-1.7895896E-12	-403.91815E-12	-84.962405E-3	5.6313968E-12	-1.7440900E-12
-84.461153E-3	-402.88170E-12	-84.461153E-3	5.7212590E-12	-1.8789922E-12	-401.24601E-12	-84.461153E-3	5.7210296E-12	-1.7847850E-12
-83.959900E-3	-404.59683E-12	-83.959900E-3	5.7608879E-12	-1.7040516E-12	-400.93548E-12	-83.959900E-3	5.6620685E-12	-1.8265745E-12
-83.458647E-3	-405.18533E-12	-83.458647E-3	5.7800978E-12	-1.7548390E-12	-392.34274E-12	-83.458647E-3	5.5379364E-12	-1.7748826E-12
-82.957394E-3	-408.23953E-12	-82.957394E-3	5.8600741E-12	-1.7601711E-12	-393.42540E-12	-82.957394E-3	5.6222965E-12	-1.7806870E-12
-82.456142E-3	-396.92333E-12	-82.456142E-3	5.5596686E-12	-1.7391672E-12	-391.69470E-12	-82.456142E-3	5.6091477E-12	-1.7062965E-12
-81.954889E-3	-398.92378E-12	-81.954889E-3	5.6565633E-12	-1.8136740E-12	-388.17488E-12	-81.954889E-3	5.5867797E-12	-1.7917808E-12
-81.453636E-3	-393.82123E-12	-81.453636E-3	5.6645504E-12	-1.7331307E-12	-384.06747E-12	-81.453636E-3	5.5611028E-12	-1.8355794E-12
-80.952384E-3	-384.49485E-12	-80.952384E-3	5.5459734E-12	-1.5949523E-12	-378.89003E-12	-80.952384E-3	5.4896231E-12	-1.7349610E-12
-80.451131E-3	-380.53591E-12	-80.451131E-3	5.6312858E-12	-1.8589164E-12	-376.78508E-12	-80.451131E-3	5.5118631E-12	-1.8303469E-12
-79.949878E-3	-388.89819E-12	-79.949878E-3	5.6493820E-12	-1.6824789E-12	-376.30868E-12	-79.949878E-3	5.4498055E-12	-1.7385769E-12
-79.448625E-3	-380.52586E-12	-79.448625E-3	5.5599787E-12	-1.8259157E-12	-369.94949E-12	-79.448625E-3	5.4409650E-12	-1.7964215E-12
-78.947373E-3	-377.74192E-12	-78.947373E-3	5.5674692E-12	-1.8002972E-12	-368.23125E-12	-78.947373E-3	5.4070359E-12	-1.8153482E-12
