Experiment	Oscilloscope	
1.1099999E-1	-7.0027042E-8
1.1199999E-1	-7.0026928E-8
1.1299999E-1	-7.0027284E-8
1.1399999E-1	-7.0027177E-8
1.1499999E-1	-7.0027042E-8
1.1599999E-1	-7.0027134E-8
1.1699999E-1	-7.0026914E-8
1.1799999E-1	-7.0027035E-8
1.1900000E-1	-7.0027099E-8
1.1999999E-1	-7.0027028E-8
1.2099999E-1	-7.0027085E-8
1.2199999E-1	-7.0027262E-8
1.2299999E-1	-7.0027312E-8
1.2399999E-1	-7.0027447E-8
1.2499999E-1	-7.0027482E-8
1.2599999E-1	-7.0027411E-8
1.2699999E-1	-7.0027518E-8
1.2799999E-1	-7.0027411E-8
1.2899999E-1	-7.0027227E-8
1.3000000E-1	-7.0027234E-8
1.3100000E-1	-7.0027241E-8
1.3199998E-1	-7.0027049E-8
1.3299999E-1	-7.0027326E-8
1.3399999E-1	-7.0027198E-8
1.3499999E-1	-7.0027028E-8
1.3599999E-1	-7.0027156E-8
1.3699999E-1	-7.0027340E-8
1.3800000E-1	-7.0027198E-8
1.3899998E-1	-7.0027156E-8
1.3999999E-1	-7.0027383E-8
1.4099999E-1	-7.0027362E-8
1.4199999E-1	-7.0027099E-8
1.4299999E-1	-7.0027127E-8
1.4399999E-1	-7.0027141E-8
1.4500000E-1	-7.0027184E-8
1.4599998E-1	-7.0027127E-8
1.4699998E-1	-7.0027220E-8
1.4799999E-1	-7.0027326E-8
1.4899999E-1	-7.0027042E-8
1.4999999E-1	-7.0026978E-8
1.5099999E-1	-7.0027113E-8
1.5200000E-1	-7.0027284E-8
1.5299998E-1	-7.0027340E-8
1.5399998E-1	-7.0027404E-8
1.5499999E-1	-7.0027198E-8
1.5599999E-1	-7.0027170E-8
1.5699999E-1	-7.0027099E-8
1.5799999E-1	-7.0027085E-8
1.5899999E-1	-7.0027227E-8
1.6000000E-1	-7.0027497E-8
1.6099998E-1	-7.0027468E-8
1.6199999E-1	-7.0027518E-8
1.6299999E-1	-7.0027454E-8
1.6399999E-1	-7.0027262E-8
1.6499999E-1	-7.0027269E-8
1.6599999E-1	-7.0027198E-8
1.6700000E-1	-7.0027383E-8
1.6799998E-1	-7.0027212E-8
1.6899998E-1	-7.0027042E-8
1.6999999E-1	-7.0027241E-8
1.7099999E-1	-7.0027156E-8
1.7199999E-1	-7.0027198E-8
1.7299999E-1	-7.0027490E-8
1.7399999E-1	-7.0027220E-8
1.7499998E-1	-7.0027355E-8
1.7599998E-1	-7.0027312E-8
1.7699999E-1	-7.0027056E-8
1.7799999E-1	-7.0027127E-8
1.7899999E-1	-7.0027220E-8
1.7999999E-1	-7.0027312E-8
1.8099999E-1	-7.0027511E-8
1.8199998E-1	-7.0027212E-8
1.8299998E-1	-7.0027006E-8
1.8399999E-1	-7.0026971E-8
1.8499999E-1	-7.0027042E-8
1.8599999E-1	-7.0027255E-8
1.8699999E-1	-7.0027355E-8
1.8799999E-1	-7.0027170E-8
1.8899998E-1	-7.0027227E-8
1.8999998E-1	-7.0027156E-8
1.9099998E-1	-7.0027099E-8
1.9199999E-1	-7.0027056E-8
1.9299999E-1	-7.0026616E-8
1.9399999E-1	-7.0026502E-8
1.9499999E-1	-7.0026388E-8
1.9599998E-1	-7.0026758E-8
1.9699998E-1	-7.0027099E-8
1.9799998E-1	-7.0027085E-8
1.9899999E-1	-7.0027134E-8
1.9999999E-1	-7.0027340E-8
2.0099999E-1	-7.0027056E-8
2.0199999E-1	-7.0026971E-8
2.0299998E-1	-7.0026950E-8
2.0399998E-1	-7.0026758E-8
2.0499998E-1	-7.0027106E-8
2.0599999E-1	-7.0027099E-8
2.0699999E-1	-7.0027085E-8
2.0799999E-1	-7.0027284E-8
2.0899999E-1	-7.0026957E-8
2.0999998E-1	-7.0027106E-8
2.1099998E-1	-7.0026999E-8
2.1199998E-1	-7.0026914E-8
2.1299998E-1	-7.0027099E-8
2.1399999E-1	-7.0026942E-8
2.1499999E-1	-7.0026758E-8
2.1599999E-1	-7.0026729E-8
2.1699998E-1	-7.0026701E-8
2.1799998E-1	-7.0026637E-8
2.1899998E-1	-7.0026928E-8
2.1999998E-1	-7.0027070E-8
2.2099999E-1	-7.0027255E-8
2.2199999E-1	-7.0027191E-8
2.2299999E-1	-7.0027056E-8
2.2399998E-1	-7.0027014E-8
2.2499998E-1	-7.0026886E-8
2.2599998E-1	-7.0027205E-8
2.2699998E-1	-7.0027298E-8
2.2799999E-1	-7.0027056E-8
2.2899999E-1	-7.0026928E-8
2.2999999E-1	-7.0026744E-8
2.3099999E-1	-7.0026644E-8
2.3199998E-1	-7.0026999E-8
2.3299998E-1	-7.0027070E-8
2.3399998E-1	-7.0027127E-8
2.3499998E-1	-7.0027184E-8
2.3599999E-1	-7.0027099E-8
2.3699999E-1	-7.0027269E-8
2.3799999E-1	-7.0027014E-8
2.3899998E-1	-7.0026914E-8
2.3999998E-1	-7.0027099E-8
2.4099998E-1	-7.0027056E-8
2.4199998E-1	-7.0027156E-8
2.4299999E-1	-7.0027021E-8
2.4399999E-1	-7.0026900E-8
2.4499999E-1	-7.0026857E-8
2.4599998E-1	-7.0026886E-8
2.4699998E-1	-7.0026914E-8
2.4799998E-1	-7.0027276E-8
2.4899998E-1	-7.0027141E-8
2.4999999E-1	-7.0027156E-8
2.5099999E-1	-7.0027220E-8
2.5199997E-1	-7.0027006E-8
2.5299999E-1	-7.0027028E-8
2.5399998E-1	-7.0026999E-8
2.5500000E-1	-7.0026957E-8
2.5599998E-1	-7.0027156E-8
2.5699997E-1	-7.0026921E-8
2.5799999E-1	-7.0026573E-8
2.5899997E-1	-7.0026900E-8
2.5999999E-1	-7.0027006E-8
2.6099998E-1	-7.0027113E-8
2.6199999E-1	-7.0027099E-8
2.6299998E-1	-7.0026985E-8
2.6399997E-1	-7.0026985E-8
2.6499999E-1	-7.0026971E-8
2.6599997E-1	-7.0026609E-8
2.6699999E-1	-7.0026957E-8
2.6799998E-1	-7.0026999E-8
2.6899999E-1	-7.0027113E-8
2.6999998E-1	-7.0027241E-8
2.7099997E-1	-7.0027085E-8
2.7199998E-1	-7.0027291E-8
2.7299997E-1	-7.0027340E-8
2.7399999E-1	-7.0027205E-8
2.7499998E-1	-7.0027227E-8
2.7599999E-1	-7.0027028E-8
2.7699998E-1	-7.0027028E-8
2.7799997E-1	-7.0026999E-8
2.7899998E-1	-7.0026815E-8
2.7999997E-1	-7.0026928E-8
2.8099999E-1	-7.0027056E-8
2.8199998E-1	-7.0026907E-8
2.8299999E-1	-7.0026957E-8
2.8399998E-1	-7.0027042E-8
2.8499997E-1	-7.0027127E-8
2.8599998E-1	-7.0027127E-8
2.8699997E-1	-7.0026772E-8
2.8799999E-1	-7.0026999E-8
2.8899997E-1	-7.0026907E-8
2.8999999E-1	-7.0026800E-8
2.9099998E-1	-7.0027198E-8
2.9199997E-1	-7.0026957E-8
2.9299998E-1	-7.0026530E-8
2.9399997E-1	-7.0026935E-8
2.9499999E-1	-7.0026857E-8
2.9599997E-1	-7.0026999E-8
2.9699999E-1	-7.0026964E-8
2.9799998E-1	-7.0026609E-8
2.9899997E-1	-7.0026694E-8
2.9999998E-1	-7.0026886E-8
3.0099997E-1	-7.0027085E-8
3.0199999E-1	-7.0027063E-8
3.0299997E-1	-7.0027028E-8
3.0399999E-1	-7.0027099E-8
3.0499998E-1	-7.0027077E-8
3.0599996E-1	-7.0027070E-8
